Runtime,Released_Year,IMDB_Rating,Meta_score,No_of_Votes,Gross
138.0,1997.0,8.2,90.0,531967,64616940.0
170.0,1995.0,8.2,76.0,577113,67436818.0
178.0,1995.0,8.2,73.0,466276,42438300.0
130.0,1992.0,8.2,85.0,375935,101157447.0
127.0,1989.0,8.2,65.0,692366,197171806.0
86.0,1988.0,8.2,86.0,291180,1105564.0
132.0,1988.0,8.2,72.0,793164,83008852.0
162.0,1985.0,8.2,96.0,112505,4135750.0
129.0,1980.0,8.2,89.0,321860,23383987.0
91.0,1975.0,8.2,91.0,500875,1229197.0
172.0,1963.0,8.2,86.0,224730,12100000.0
121.0,1959.0,8.2,98.0,243943,25000000.0
118.0,1955.0,8.2,97.0,28810,57226.0
105.0,1954.0,8.2,75.0,158335,12562.0
88.0,1950.0,8.2,98.0,152572,96568.0
138.0,1950.0,8.2,98.0,120539,10177.0
126.0,1948.0,8.2,98.0,114304,5014000.0
122.0,2019.0,8.1,95.0,63134,3759854.0
145.0,2016.0,8.1,84.0,113649,2006788.0
139.0,2014.0,8.1,74.0,50700,3492754.0
137.0,2017.0,8.1,77.0,647884,226277068.0
118.0,2015.0,8.1,86.0,371538,14677674.0
122.0,2014.0,8.1,77.0,177059,3107072.0
196.0,2014.0,8.1,88.0,46547,165520.0
99.0,2014.0,8.1,88.0,707630,59100318.0
149.0,2014.0,8.1,79.0,859695,167767189.0
139.0,2016.0,8.1,71.0,435928,67209615.0
95.0,2015.0,8.1,94.0,616228,356461711.0
134.0,2013.0,8.1,96.0,640533,56671993.0
123.0,2013.0,8.1,74.0,432811,26947624.0
152.0,2019.0,8.1,81.0,291289,117624028.0
129.0,2015.0,8.1,93.0,420316,45055776.0
93.0,2014.0,8.1,85.0,51679,857524.0
153.0,2013.0,8.1,70.0,601149,61002302.0
120.0,2015.0,8.1,90.0,882316,154058340.0
116.0,2008.0,8.1,72.0,720450,148095302.0
130.0,2011.0,8.1,85.0,764493,381011219.0
130.0,2008.0,8.1,68.0,48582,1498210.0
98.0,2010.0,8.1,75.0,666773,217581231.0
148.0,2007.0,8.1,73.0,572921,18354356.0
122.0,2007.0,8.1,91.0,856916,74283625.0
132.0,2004.0,8.1,86.0,635975,100492203.0
121.0,2004.0,8.1,79.0,334320,23530892.0
140.0,2004.0,8.1,64.0,37820,1111061.0
80.0,2004.0,8.1,90.0,236311,5820649.0
131.0,2003.0,8.1,82.0,139558,14131.0
111.0,2003.0,8.1,69.0,1000639,70099045.0
100.0,2003.0,8.1,90.0,949565,380843261.0
141.0,2002.0,8.1,75.0,832846,164615351.0
154.0,2000.0,8.1,83.0,223741,5383834.0
92.0,2001.0,8.1,79.0,815505,289916256.0
224.0,2001.0,8.1,84.0,105036,70147.0
107.0,1999.0,8.1,64.0,911573,293506292.0
169.0,1998.0,8.1,58.0,59020,259127.0
103.0,1998.0,8.1,90.0,939631,125618201.0
127.0,1998.0,8.1,73.0,50862,348660.0
117.0,1998.0,8.1,71.0,732620,17498804.0
98.0,2000.0,8.1,85.0,124383,2734044.0
93.0,1996.0,8.1,83.0,634716,16501785.0
98.0,1996.0,8.1,85.0,617444,24611975.0
101.0,1995.0,8.1,77.0,272291,5535405.0
99.0,1994.0,8.1,100.0,90729,4043686.0
102.0,1994.0,8.1,77.0,63122,600200.0
127.0,1993.0,8.1,68.0,867615,402453882.0
133.0,1993.0,8.1,84.0,156842,25010410.0
128.0,1989.0,8.1,79.0,425457,95860116.0
89.0,1986.0,8.1,75.0,363401,52287414.0
120.0,1986.0,8.1,92.0,381222,138530565.0
145.0,1984.0,8.1,78.0,91188,2181987.0
117.0,1984.0,8.1,86.0,150924,495770.0
109.0,1982.0,8.1,57.0,371271,13782838.0
95.0,1982.0,8.1,47.0,76081,22244207.0
188.0,1982.0,8.1,100.0,57784,4971340.0
